Tipo;País;Bodega;Nombre del Vino / Gama;Precio (MXN);Imagen
Tintos;México;El Cielo;Procyon Shiraz;2178;procyon-shiraz.png
Tintos;México;Tres Raíces;Tres Raíces Gran Reserva;2280;tres-raices-gran-reserva.png
Tintos;México;Tres Raíces;Tres Raíces Caladoc;2048;tres-raices-caladoc.png
Tintos;México;Tres Raíces;Tres Raíces Merlot;1725;tres-raices-merlot.png
Tintos;México;Tres Raíces;Tres Raíces Tempranillo;1725;tres-raices-tempranillo.png
Tintos;México;Parvada;Parvada Reserva Blend;2248;parvada-reserva-blend.png
Tintos;México;Parvada;Parvada Selección del Enólogo;2198;parvada-seleccion-del-enologo.png
Tintos;México;Parvada;Parvada Syrah;2050;parvada-syrah.png
Tintos;México;Parvada;Parvada Cabernet Franc;2050;parvada-cabernet-franc.png
Tintos;México;Parvada;Parvada Cardenal;1188;parvada-cardenal.png
Tintos;México;Santa Elena;Santa Elena Sophie Nebbiolo;1550;santa-elena-sophie-nebbiolo.png
Tintos;México;Tierra Adentro;Tierra Adentro Cabernet Malbec Merlot;1225;tierra-adentro-cabernet-malbec-merlot.png
Tintos;México;Tierra Adentro;Tierra Adentro Nebbiolo Cabernet Sauvignon;1100;tierra-adentro-nebbiolo-cabernet-sauvignon.png
Tintos;México;Tierra Adentro;Tierra Adentro Syrah Merlot Tempranillo;1100;tierra-adentro-syrah-merlot-tempranillo.png
Tintos;Uruguay;Montes Toscanini;Montes Toscanini Gran Tannat;2172;montes-toscanini-gran-tannat.png
Tintos;USA;Heitz Cellar;Heitz Cellar Cabernet Sauvignon;6473;heitz-cellar-cabernet-sauvignon.png
Tintos;USA;Artesa;Artesa Limited Release Napa Valley Cabernet Sauvignon;4638;artesa-limited-release-napa-valley-cabernet-sauvignon.png
Tintos;USA;Artesa;Artesa Pinnacle Red Blend Napa Valley;2749;artesa-pinnacle-red-blend-napa-valley.png
Tintos;USA;Artesa;Artesa Limited Release Napa Valley Merlot;2749;artesa-limited-release-napa-valley-merlot.png
Tintos;USA;Artesa;Artesa Napa Valley Cabernet Sauvignon;2301;artesa-napa-valley-cabernet-sauvignon.png
Tintos;USA;Artesa;Artesa Estate Vineyard Pinot Noir;2093;artesa-estate-vineyard-pinot-noir.png
Tintos;USA;Titus Vineyards;Titus Cabernet Sauvignon;3944;titus-cabernet-sauvignon.png
Tintos;USA;Abeja;Abeja Columbia Valley Cabernet Sauvignon;3874;abeja-columbia-valley-cabernet-sauvignon.png
Tintos;USA;Abeja;Abeja Columbia Valley Merlot;3144;abeja-columbia-valley-merlot.png
Tintos;USA;Murphy Goode;Murphy Goode Alexander Valley Cabernet Sauvignon;2761;murphy-goode-alexander-valley-cabernet-sauvignon.png
Tintos;USA;Murphy Goode;Murphy Goode Liar's Dice Zinfandel;2146;murphy-goode-liars-dice-zinfandel.png
Tintos;USA;Murphy Goode;Murphy Goode Pinot Noir;1392;murphy-goode-pinot-noir.png
Tintos;USA;Murphy Goode;Murphy Goode Merlot;1392;murphy-goode-merlot.png
Tintos;USA;Murphy Goode;Murphy Goode Cabernet Sauvignon;1392;murphy-goode-cabernet-sauvignon.png
Tintos;USA;Murphy Goode;Murphy Goode Red Blend;1392;murphy-goode-red-blend.png
Tintos;USA;Citation Wines;Citation Willamette Valley Pinot Noir;2146;citation-willamette-valley-pinot-noir.png
Tintos;USA;Citation Wines;Willajory Willamette Valley Pinot Noir;1334;willajory-willamette-valley-pinot-noir.png
Tintos;USA;Mettler Family;Mettler Epicenter Old Vine Zinfandel;1986;mettler-epicenter-old-vine-zinfandel.png
Tintos;USA;Mettler Family;Mettler Cabernet Sauvignon;1986;mettler-cabernet-sauvignon.png
Tintos;USA;Mettler Family;Mettler Copacetic Red Blend;1653;mettler-copacetic-red-blend.png
Tintos;USA;Airfield Estates;Airfield Estates Cabernet Sauvignon;1537;airfield-estates-cabernet-sauvignon.png
Tintos;USA;Goose Ridge;G3 by Goose Ridge - Merlot;1421;g3-by-goose-ridge-merlot.png
Tintos;USA;Goose Ridge;G3 by Goose Ridge - Cabernet Sauvignon;1421;g3-by-goose-ridge-cabernet-sauvignon.png
Tintos;USA;Granite Hill;Granite Hill Cellars Cabernet Sauvignon;899;granite-hill-cellars-cabernet-sauvignon.png
ESPUMOSOS;;;;;
Espumosos;España;Codorníu (Ars Collecta);Cava Ars Collecta Blanc de Blancs;1478;cava-ars-collecta-blanc-de-blancs.png
Espumosos;España;Codorníu (Ars Collecta);Cava Ars Collecta Blanc de Noirs;1478;cava-ars-collecta-blanc-de-noirs.png
Espumosos;España;Codorníu (Ars Collecta);Cava Ars Collecta Grand Rose Reserva;1478;cava-ars-collecta-grand-rose-reserva.png
Espumosos;España;Codorníu (Anna);Cava Anna de Codorníu Blanc de Blancs Brut;915;cava-anna-de-codorniu-blanc-de-blancs-brut.png
Espumosos;España;Codorníu (Anna);Cava Anna de Codorníu Brut Rosé;915;cava-anna-de-codorniu-brut-rose.png
Espumosos;España;Codorníu (Anna);Cava Anna de Codorníu Ice Edition Semi Sec;915;cava-anna-de-codorniu-ice-edition-semi-sec.png
Espumosos;Francia;Jean Mallet;Champagne Jean Mallet Cuvée Brut Tradition;1887;champagne-jean-mallet-cuvee-brut-tradition.png
Espumosos;Italia;Alessandro Berselli;Alessandro Berselli Signature Collection Franciacorta Brut DOCG;2681;alessandro-berselli-signature-collection-franciacorta-brut-docg.png
Espumosos;Italia;Alessandro Berselli;Alessandro Berselli Signature Collection Prosecco DOC Millesimato;1434;alessandro-berselli-signature-collection-prosecco-doc-millesimato.png
Espumosos;Italia;Bottega;Bottega Gold Prosecco Spumante;1621;bottega-gold-prosecco-spumante.png
Espumosos;Italia;Bottega;Bottega Gold Rose Spumante;1621;bottega-gold-rose-spumante.png
Espumosos;Italia;Bottega;"Bottega ""Il Vino dei Poeti"" Prosecco";1023;bottega-il-vino-dei-poeti-prosecco.png
Espumosos;Italia;Bottega;"Bottega Pétalo ""Il Vino Dell Amore"" Moscato";960;bottega-petalo-il-vino-dell-amore-moscato.png
POSTRE;;;;;
Postre;Italia;Acquesi;Acquesi Moscato d'Asti DOCG;997;acquesi-moscato-d-asti-docg.png
Postre;México;Altotinto;Altotinto Cosecha Tardía;995;altotinto-cosecha-tardia.png
Postre;Chile;Casas Patronales;Casas Patronales Lujuria Late Harvest;777;casas-patronales-lujuria-late-harvest.png
